path,proposed_component,treatment,evidence_or_reason
"internal/endpoint/transit_client_certificate.go","permission-issuance","deepen","package-and-symbol pass"
"internal/endpoint/transit_credential_acquisition.go","permission-issuance","deepen","package-and-symbol pass"
"internal/endpoint/transit/acquisition.go","permission-issuance","retain","package-and-symbol pass"
"internal/endpoint/transit/compatibility.go","permission-issuance","retain","package-and-symbol pass"
"internal/endpoint/transit/doc.go","permission-issuance","retain","package documentation"
"internal/endpoint/transit/files.go","permission-issuance","retain","package-and-symbol pass"
"internal/endpoint/transit/lifecycle.go","permission-issuance","retain","package-and-symbol pass"
"internal/endpoint/transit/set.go","permission-issuance","retain","package-and-symbol pass"
"internal/endpoint/worker_inventory_linux.go","confined-application","deepen","package-and-symbol pass"
"internal/node/admission_deadline.go","node-duty","retain","package-and-symbol pass"
"internal/node/admission.go","node-duty","retain","package-and-symbol pass"
"internal/node/clock_observation.go","resource-diagnostics","boundary-review","package-and-symbol pass"
"internal/node/closed_bootstrap_forwarding.go","node-duty","move-candidate","package-and-symbol pass"
"internal/node/closed_carrier_relay.go","node-duty","move-candidate","package-and-symbol pass"
"internal/node/closed_forward_recipient.go","node-duty","move-candidate","package-and-symbol pass"
"internal/node/closed_forwarding_admission.go","node-duty","split-candidate","forwarding reservation and shared role-token verifier"
"internal/node/closed_forwarding_carrier.go","node-duty","move-candidate","package-and-symbol pass"
"internal/node/closed_forwarding_host.go","resource-diagnostics","boundary-review","package-and-symbol pass"
"internal/node/closed_forwarding_link.go","node-duty","move-candidate","package-and-symbol pass"
"internal/node/closed_forwarding_listener.go","node-duty","move-candidate","package-and-symbol pass"
"internal/node/closed_forwarding_queue.go","node-duty","move-candidate","package-and-symbol pass"
"internal/node/closed_forwarding_receiving.go","node-duty","move-candidate","package-and-symbol pass"
"internal/node/closed_forwarding_shutdown.go","node-duty","move-candidate","package-and-symbol pass"
"internal/node/closed_hosting.go","resource-diagnostics","split-candidate","host period, control admission, and pressure"
"internal/node/closed_introduction_delivery.go","node-duty","deepen","package-and-symbol pass"
"internal/node/closed_introduction_listener.go","node-duty","deepen","package-and-symbol pass"
"internal/node/closed_introduction_registration.go","node-duty","deepen","package-and-symbol pass"
"internal/node/closed_issuer_listener.go","node-duty","deepen","package-and-symbol pass"
"internal/node/closed_join_listener.go","node-duty","deepen","package-and-symbol pass"
"internal/node/closed_join_operation.go","node-duty","deepen","package-and-symbol pass"
"internal/node/closed_listen_bind.go","node-duty","retain","package-and-symbol pass"
"internal/node/closed_outer_issuer.go","node-duty","deepen","package-and-symbol pass"
"internal/node/closed_outer_lifetime.go","protected-wire","move-candidate","package-and-symbol pass"
"internal/node/closed_outer_writer.go","protected-wire","move-candidate","package-and-symbol pass"
"internal/node/closed_resolution_listener.go","node-duty","deepen","package-and-symbol pass"
"internal/node/closed_resolution_operation.go","node-duty","deepen","package-and-symbol pass"
"internal/node/closed_route_receiver.go","node-duty","boundary-review","package-and-symbol pass"
"internal/node/contract.go","node-duty","split-candidate","package-and-symbol pass"
"internal/node/doc.go","node-duty","retain","package documentation"
"internal/node/duty_server.go","node-duty","retain","package-and-symbol pass"
"internal/node/event_writer_other.go","resource-diagnostics","boundary-review","package-and-symbol pass"
"internal/node/event_writer_windows.go","resource-diagnostics","boundary-review","package-and-symbol pass"
"internal/node/event_writer.go","resource-diagnostics","boundary-review","package-and-symbol pass"
"internal/node/identity.go","node-duty","retain","package-and-symbol pass"
"internal/node/lifecycle.go","node-duty","retain","package-and-symbol pass"
"internal/node/local_roles.go","node-duty","retain","package-and-symbol pass"
"internal/node/machine.go","node-duty","retain","package-and-symbol pass"
"internal/node/probe_contract.go","node-duty","move-candidate","package-and-symbol pass"
"internal/node/probe_credentials.go","node-duty","move-candidate","package-and-symbol pass"
"internal/node/probe_doc.go","node-duty","retain","package documentation"
"internal/node/probe_server.go","node-duty","move-candidate","package-and-symbol pass"
"internal/node/probe_wire.go","node-duty","move-candidate","package-and-symbol pass"
"internal/node/resource_pressure.go","resource-diagnostics","boundary-review","package-and-symbol pass"
"internal/node/terminal_cleanup.go","resource-diagnostics","boundary-review","package-and-symbol pass"
"internal/route/ardp/bootstrap_linux.go","protected-wire","retain","package-and-symbol pass"
"internal/route/ardp/doc.go","protected-wire","retain","package documentation"
"internal/route/ardp/frame.go","protected-wire","retain","package-and-symbol pass"
"internal/route/capsule/capsule.go","protected-wire","retain","package-and-symbol pass"
"internal/route/capsule/crypto_linux.go","protected-wire","retain","package-and-symbol pass"
"internal/route/capsule/doc.go","protected-wire","retain","package documentation"
"internal/route/capsule/plaintext_linux.go","protected-wire","retain","package-and-symbol pass"
"internal/route/capsule/plaintext.go","protected-wire","retain","package-and-symbol pass"
"internal/route/capsule/submission.go","protected-wire","retain","package-and-symbol pass"
"internal/route/closed_admission_channel.go","receiving-spend","boundary-review","package-and-symbol pass"
"internal/route/closed_bootstrap_exchange.go","client-path","move-candidate","package-and-symbol pass"
"internal/route/closed_bootstrap_plan.go","client-path","move-candidate","package-and-symbol pass"
"internal/route/closed_bootstrap.go","client-path","move-candidate","package-and-symbol pass"
"internal/route/closed_carrier_pool.go","carrier","move-candidate","package-and-symbol pass"
"internal/route/closed_carrier_retirement.go","carrier","move-candidate","package-and-symbol pass"
"internal/route/closed_control_capacity.go","receiving-spend","boundary-review","package-and-symbol pass"
"internal/route/closed_duty_control_queue.go","receiving-spend","boundary-review","package-and-symbol pass"
"internal/route/closed_duty_limits.go","receiving-spend","boundary-review","package-and-symbol pass"
"internal/route/closed_forwarding_budget.go","protected-wire","boundary-review","package-and-symbol pass"
"internal/route/closed_forwarding_channel.go","protected-wire","boundary-review","package-and-symbol pass"
"internal/route/closed_forwarding_reverse.go","protected-wire","boundary-review","package-and-symbol pass"
"internal/route/closed_introduction_client.go","client-path","move-candidate","package-and-symbol pass"
"internal/route/closed_introduction_delivery.go","protected-wire","boundary-review","package-and-symbol pass"
"internal/route/closed_join_accept.go","protected-wire","boundary-review","package-and-symbol pass"
"internal/route/closed_join_client_stream.go","client-path","move-candidate","package-and-symbol pass"
"internal/route/closed_join_client.go","client-path","move-candidate","package-and-symbol pass"
"internal/route/closed_join_pairing.go","receiving-spend","boundary-review","package-and-symbol pass"
"internal/route/closed_join_replenishment.go","receiving-spend","boundary-review","package-and-symbol pass"
"internal/route/closed_join_stream.go","protected-wire","boundary-review","package-and-symbol pass"
"internal/route/closed_node_carrier.go","carrier","move-candidate","package-and-symbol pass"
"internal/route/closed_node_open.go","protected-wire","split-candidate","Node OPEN grammar and bridge lane accessor"
"internal/route/closed_outer_admission.go","protected-wire","boundary-review","package-and-symbol pass"
"internal/route/closed_outer_bridge_shutdown.go","protected-wire","boundary-review","package-and-symbol pass"
"internal/route/closed_outer_bridge.go","protected-wire","boundary-review","package-and-symbol pass"
"internal/route/closed_outer_handshake.go","protected-wire","boundary-review","package-and-symbol pass"
"internal/route/closed_outer_write.go","protected-wire","boundary-review","package-and-symbol pass"
"internal/route/closed_purpose_assignment.go","protected-wire","boundary-review","package-and-symbol pass"
"internal/route/closed_recipient_inspection.go","client-path","move-candidate","package-and-symbol pass"
"internal/route/closed_role_carrier_client_linux.go","carrier","move-candidate","package-and-symbol pass"
"internal/route/closed_role_carrier.go","carrier","move-candidate","package-and-symbol pass"
"internal/route/closed_role_child_stream.go","protected-wire","boundary-review","package-and-symbol pass"
"internal/route/closed_role_tls_client_linux.go","protected-wire","boundary-review","package-and-symbol pass"
"internal/route/closed_role_tls.go","protected-wire","boundary-review","package-and-symbol pass"
"internal/route/closed_shared_carrier.go","carrier","move-candidate","package-and-symbol pass"
"internal/route/closed_source_capacity.go","client-path","move-candidate","package-and-symbol pass"
"internal/route/closed_source_channels.go","client-path","move-candidate","package-and-symbol pass"
"internal/route/closed_source_control.go","client-path","move-candidate","package-and-symbol pass"
"internal/route/closed_source_issuance.go","client-path","move-candidate","package-and-symbol pass"
"internal/route/closed_source_lane_close.go","client-path","move-candidate","package-and-symbol pass"
"internal/route/closed_source_lane_read.go","client-path","move-candidate","package-and-symbol pass"
"internal/route/closed_source_lane_witness.go","client-path","move-candidate","package-and-symbol pass"
"internal/route/closed_source_lane_write.go","client-path","move-candidate","package-and-symbol pass"
"internal/route/closed_source_lane.go","client-path","move-candidate","package-and-symbol pass"
"internal/route/closed_source_lifetime.go","client-path","move-candidate","package-and-symbol pass"
"internal/route/closed_source_prefix.go","client-path","move-candidate","package-and-symbol pass"
"internal/route/closed_source_queue.go","client-path","move-candidate","package-and-symbol pass"
"internal/route/closed_source_replenishment.go","client-path","move-candidate","package-and-symbol pass"
"internal/route/closed_source_resolution.go","client-path","move-candidate","package-and-symbol pass"
"internal/route/closed_source_submission.go","client-path","move-candidate","package-and-symbol pass"
"internal/route/closed_tcp_transport.go","carrier","move-candidate","package-and-symbol pass"
"internal/route/closed_terminal_priority_linux.go","protected-wire","boundary-review","package-and-symbol pass"
"internal/route/closed_terminal_recipient.go","protected-wire","boundary-review","package-and-symbol pass"
"internal/route/credential_relay_io.go","protected-wire","boundary-review","package-and-symbol pass"
"internal/route/credential_relay_setup.go","protected-wire","boundary-review","package-and-symbol pass"
"internal/route/credential/client.go","permission-issuance","boundary-review","imports parent route to verify Transit Grant"
"internal/route/credential/closed_issuer_root.go","permission-issuance","retain","package-and-symbol pass"
"internal/route/credential/closed_token_admitted.go","permission-issuance","boundary-review","imports parent route admission channel and lane"
"internal/route/credential/closed_token_batch_client_linux.go","permission-issuance","retain","package-and-symbol pass"
"internal/route/credential/closed_token_batch.go","permission-issuance","retain","package-and-symbol pass"
"internal/route/credential/closed_token_bootstrap.go","permission-issuance","boundary-review","imports parent route bootstrap controller"
"internal/route/credential/closed_token_challenge.go","permission-issuance","retain","package-and-symbol pass"
"internal/route/credential/closed_token_finalization_linux.go","permission-issuance","retain","package-and-symbol pass"
"internal/route/credential/closed_token_issuer_conversion.go","permission-issuance","retain","package-and-symbol pass"
"internal/route/credential/closed_token_issuer_ledger.go","permission-issuance","retain","package-and-symbol pass"
"internal/route/credential/closed_token_issuer.go","permission-issuance","retain","package-and-symbol pass"
"internal/route/credential/closed_token_key.go","permission-issuance","retain","package-and-symbol pass"
"internal/route/credential/closed_token_listener.go","permission-issuance","boundary-review","imports parent route Carrier listener"
"internal/route/credential/closed_token_operation.go","permission-issuance","retain","package-and-symbol pass"
"internal/route/credential/closed_token_outcome_client_linux.go","permission-issuance","retain","package-and-symbol pass"
"internal/route/credential/closed_token_outcome.go","permission-issuance","retain","package-and-symbol pass"
"internal/route/credential/closed_token_verify.go","permission-issuance","retain","package-and-symbol pass"
"internal/route/credential/contract.go","permission-issuance","retain","package-and-symbol pass"
"internal/route/credential/doc.go","permission-issuance","retain","package documentation"
"internal/route/credential/issuer_root_files.go","permission-issuance","retain","package-and-symbol pass"
"internal/route/credential/issuer_root_lock_unix.go","permission-issuance","retain","package-and-symbol pass"
"internal/route/credential/issuer_root_lock_windows.go","permission-issuance","retain","package-and-symbol pass"
"internal/route/credential/issuer_root_permissions_unix.go","permission-issuance","retain","package-and-symbol pass"
"internal/route/credential/issuer_root_permissions_windows.go","permission-issuance","retain","package-and-symbol pass"
"internal/route/credential/issuer_root_sync_unix.go","permission-issuance","retain","package-and-symbol pass"
"internal/route/credential/issuer_root_sync_windows.go","permission-issuance","retain","package-and-symbol pass"
"internal/route/credential/message.go","permission-issuance","boundary-review","imports parent route role constants"
"internal/route/credential/permission_request_client_linux.go","permission-issuance","retain","package-and-symbol pass"
"internal/route/credential/permission_request.go","permission-issuance","retain","package-and-symbol pass"
"internal/route/credential/permission.go","permission-issuance","retain","package-and-symbol pass"
"internal/route/credential/profile.go","permission-issuance","retain","package-and-symbol pass"
"internal/route/doc.go","protected-wire","retain","package documentation"
"internal/route/endpoint_literal.go","protected-wire","boundary-review","package-and-symbol pass"
"internal/route/endpoint_transit_attachment.go","client-path","move-candidate","package-and-symbol pass"
"internal/route/endpoint_transit_binding.go","client-path","move-candidate","package-and-symbol pass"
"internal/route/entry_attachment.go","client-path","move-candidate","package-and-symbol pass"
"internal/route/entry_binding.go","client-path","move-candidate","package-and-symbol pass"
"internal/route/introduction_control_io.go","protected-wire","boundary-review","package-and-symbol pass"
"internal/route/introduction_outcome_io.go","protected-wire","boundary-review","package-and-symbol pass"
"internal/route/introduction_outcome.go","protected-wire","boundary-review","package-and-symbol pass"
"internal/route/introduction_slot_registration.go","protected-wire","boundary-review","package-and-symbol pass"
"internal/route/native_attachment.go","protected-wire","boundary-review","package-and-symbol pass"
"internal/route/node_binding.go","compatibility","compatibility-review","no external production caller found; check retained v1 evidence"
"internal/route/node_carrier_quic.go","carrier","move-candidate","package-and-symbol pass"
"internal/route/node_carrier.go","carrier","move-candidate","package-and-symbol pass"
"internal/route/replay/doc.go","receiving-spend","retain","package documentation"
"internal/route/replay/introduction_slots.go","receiving-spend","retain","package-and-symbol pass"
"internal/route/replay/lease_unix.go","receiving-spend","retain","package-and-symbol pass"
"internal/route/replay/lease_windows.go","receiving-spend","retain","package-and-symbol pass"
"internal/route/replay/spend_ledger.go","receiving-spend","retain","package-and-symbol pass"
"internal/route/replay/sync_unix.go","receiving-spend","retain","package-and-symbol pass"
"internal/route/replay/sync_windows.go","receiving-spend","retain","package-and-symbol pass"
"internal/route/route_binding_v1.go","compatibility","compatibility-review","no external production caller found; check retained v1 evidence"
"internal/route/sealed_introduction.go","protected-wire","boundary-review","package-and-symbol pass"
"internal/route/terminal/descriptor_client_linux.go","protected-wire","boundary-review","terminal codec imports service/reachability"
"internal/route/terminal/descriptor.go","protected-wire","boundary-review","terminal codec imports service/reachability"
"internal/route/terminal/doc.go","protected-wire","retain","package documentation"
"internal/route/terminal/issuance_client_linux.go","protected-wire","retain","package-and-symbol pass"
"internal/route/terminal/issuance.go","protected-wire","retain","package-and-symbol pass"
"internal/route/terminal/join_client_linux.go","protected-wire","retain","package-and-symbol pass"
"internal/route/terminal/join.go","protected-wire","retain","package-and-symbol pass"
"internal/route/terminal/registration_encoding_linux.go","protected-wire","retain","package-and-symbol pass"
"internal/route/terminal/registration.go","protected-wire","retain","package-and-symbol pass"
"internal/route/tls_adapter.go","carrier","move-candidate","package-and-symbol pass"
"internal/route/transit_grant.go","client-path","move-candidate","package-and-symbol pass"
"internal/route/wire_encoding.go","protected-wire","boundary-review","package-and-symbol pass"
"internal/service/connection/context.go","service-connection","retain","package-and-symbol pass"
"internal/service/connection/continuity_exchange.go","service-connection","retain","package-and-symbol pass"
"internal/service/connection/contract.go","service-connection","retain","package-and-symbol pass"
"internal/service/connection/doc.go","service-connection","retain","package documentation"
"internal/service/connection/initial_authentication.go","service-connection","retain","package-and-symbol pass"
"internal/service/connection/initial_receipt.go","service-connection","retain","package-and-symbol pass"
"internal/service/connection/name_origin.go","service-connection","retain","package-and-symbol pass"
"internal/service/connection/protected_context.go","service-connection","retain","package-and-symbol pass"
"internal/service/connection/record.go","service-connection","retain","package-and-symbol pass"
"internal/service/connection/stream_bounded.go","service-connection","retain","package-and-symbol pass"
"internal/service/connection/stream_completion_linux.go","service-connection","retain","package-and-symbol pass"
"internal/service/connection/stream_contract.go","service-connection","retain","package-and-symbol pass"
"internal/service/connection/stream_data_replay.go","service-connection","retain","package-and-symbol pass"
"internal/service/connection/stream_lifecycle.go","service-connection","retain","package-and-symbol pass"
"internal/service/connection/stream_receive.go","service-connection","retain","package-and-symbol pass"
"internal/service/connection/stream_recovery.go","service-connection","retain","package-and-symbol pass"
"internal/service/connection/stream_send.go","service-connection","retain","package-and-symbol pass"
"internal/service/connection/stream_support.go","service-connection","retain","package-and-symbol pass"
"internal/service/connection/stream_terminal_replay.go","service-connection","retain","package-and-symbol pass"
"internal/service/connection/stream_terminal_tail.go","service-connection","retain","package-and-symbol pass"
"internal/service/instance/access_nonwindows.go","service-identity","retain","package-and-symbol pass"
"internal/service/instance/access_windows.go","service-identity","retain","package-and-symbol pass"
"internal/service/instance/contract.go","service-identity","retain","package-and-symbol pass"
"internal/service/instance/doc.go","service-identity","retain","package documentation"
"internal/service/instance/durability_nonwindows.go","service-identity","retain","package-and-symbol pass"
"internal/service/instance/durability_windows.go","service-identity","retain","package-and-symbol pass"
"internal/service/instance/lifecycle.go","service-identity","retain","package-and-symbol pass"
"internal/service/instance/lock_nonwindows.go","service-identity","retain","package-and-symbol pass"
"internal/service/instance/lock_windows.go","service-identity","retain","package-and-symbol pass"
"internal/service/instance/private_introduction.go","service-identity","retain","package-and-symbol pass"
"internal/service/instance/private_recipient.go","service-identity","retain","package-and-symbol pass"
