"path","artifact_class","physical_owner","proposed_module","audit_state"
"cmd/ardents-qualification/evidence_reader_linux.go","production-go","cmd/ardents-qualification","installed qualification command and evidence adapter","command-surface-pass"
"cmd/ardents-qualification/evidence_reader_linux_test.go","go-test","cmd/ardents-qualification","","unreviewed"
"cmd/ardents-qualification/failed_net14v_linux.go","production-go","cmd/ardents-qualification","installed qualification command and evidence adapter","command-surface-pass"
"cmd/ardents-qualification/failed_net14v_linux_test.go","go-test","cmd/ardents-qualification","","unreviewed"
"cmd/ardents-qualification/identity_linux.go","production-go","cmd/ardents-qualification","installed qualification command and evidence adapter","command-surface-pass"
"cmd/ardents-qualification/issue60_evidence_linux.go","production-go","cmd/ardents-qualification","installed qualification command and evidence adapter","command-surface-pass"
"cmd/ardents-qualification/issue60_evidence_linux_test.go","go-test","cmd/ardents-qualification","","unreviewed"
"cmd/ardents-qualification/main.go","production-go","cmd/ardents-qualification","installed qualification command and evidence adapter","command-surface-pass"
"cmd/ardents-qualification/main_other.go","production-go","cmd/ardents-qualification","installed qualification command and evidence adapter","command-surface-pass"
"cmd/ardents-qualification/net14v_verdict_linux.go","production-go","cmd/ardents-qualification","installed qualification command and evidence adapter","command-surface-pass"
"cmd/ardents-qualification/net32_idle_linux.go","production-go","cmd/ardents-qualification","installed qualification command and evidence adapter","command-surface-pass"
"cmd/ardents-qualification/network_manifest_linux.go","production-go","cmd/ardents-qualification","installed qualification command and evidence adapter","command-surface-pass"
"cmd/ardents-qualification/node_results_linux.go","production-go","cmd/ardents-qualification","installed qualification command and evidence adapter","command-surface-pass"
"cmd/ardents-qualification/owner_slice_results_linux.go","production-go","cmd/ardents-qualification","installed qualification command and evidence adapter","command-surface-pass"
"cmd/ardents-qualification/paired_evidence_linux.go","production-go","cmd/ardents-qualification","installed qualification command and evidence adapter","command-surface-pass"
"cmd/ardents-qualification/paired_evidence_linux_test.go","go-test","cmd/ardents-qualification","","unreviewed"
"cmd/ardents-qualification/plan_linux.go","production-go","cmd/ardents-qualification","installed qualification command and evidence adapter","command-surface-pass"
"cmd/ardents-qualification/plan_linux_test.go","go-test","cmd/ardents-qualification","","unreviewed"
"cmd/ardents-qualification/preflight_linux.go","production-go","cmd/ardents-qualification","installed qualification command and evidence adapter","command-surface-pass"
"cmd/ardents-qualification/preflight_other.go","production-go","cmd/ardents-qualification","installed qualification command and evidence adapter","command-surface-pass"
"cmd/ardents-qualification/qualification_evidence_linux_test.go","go-test","cmd/ardents-qualification","","unreviewed"
"cmd/ardents-qualification/recovery_evidence_linux.go","production-go","cmd/ardents-qualification","installed qualification command and evidence adapter","command-surface-pass"
"cmd/ardents-qualification/relay_results_linux.go","production-go","cmd/ardents-qualification","installed qualification command and evidence adapter","command-surface-pass"
"cmd/ardents-qualification/resource_verdict_linux.go","production-go","cmd/ardents-qualification","installed qualification command and evidence adapter","command-surface-pass"
"cmd/ardents-qualification/resource_verdict_linux_test.go","go-test","cmd/ardents-qualification","","unreviewed"
"cmd/ardents-qualification/source_results_linux.go","production-go","cmd/ardents-qualification","installed qualification command and evidence adapter","command-surface-pass"
"cmd/ardents-stream-qualification/doc.go","production-go","cmd/ardents-stream-qualification","NET-14 qualification worker command","command-surface-pass"
"cmd/ardents-stream-qualification/main.go","production-go","cmd/ardents-stream-qualification","NET-14 qualification worker command","command-surface-pass"
"cmd/ardents-stream-qualification/main_test.go","go-test","cmd/ardents-stream-qualification","","unreviewed"
"cmd/ardents-text/doc.go","production-go","cmd/ardents-text","text Application command dispatch","command-surface-pass"
"cmd/ardents-text/main.go","production-go","cmd/ardents-text","text Application command dispatch","command-surface-pass"
"cmd/ardents-text/main_test.go","go-test","cmd/ardents-text","","unreviewed"
"cmd/ardents-text/published_link.go","production-go","cmd/ardents-text","text published link UI adapter","command-surface-pass"
"cmd/ardents-text/published_link_linux.go","production-go","cmd/ardents-text","text published link UI adapter","command-surface-pass"
"cmd/ardents-text/published_link_linux_test.go","go-test","cmd/ardents-text","","unreviewed"
"cmd/ardents-text/published_link_nonlinux.go","production-go","cmd/ardents-text","text published link UI adapter","command-surface-pass"
"cmd/ardents-text/publisher.go","production-go","cmd/ardents-text","text Publisher UI adapter","command-surface-pass"
"cmd/ardents-text/publisher_linux_test.go","go-test","cmd/ardents-text","","unreviewed"
"cmd/ardents-text/reader.go","production-go","cmd/ardents-text","text Reader UI adapter","command-surface-pass"
"cmd/ardents-text/reader_linux_test.go","go-test","cmd/ardents-text","","unreviewed"
"cmd/ardents-text/reader_peer_linux_test.go","go-test","cmd/ardents-text","","unreviewed"
"cmd/ardents-text/reader_process_linux_test.go","go-test","cmd/ardents-text","","unreviewed"
"cmd/ardents-text/reader_stdio_linux.go","production-go","cmd/ardents-text","text Reader UI adapter","command-surface-pass"
"cmd/ardents-text/reader_stdio_linux_test.go","go-test","cmd/ardents-text","","unreviewed"
"cmd/ardents-text/reader_stdio_other.go","production-go","cmd/ardents-text","text Reader UI adapter","command-surface-pass"
"cmd/ardents-text/reader_test.go","go-test","cmd/ardents-text","","unreviewed"
"cmd/ardents-text/worker_entrypoint_linux_test.go","go-test","cmd/ardents-text","","unreviewed"
"cmd/ardents/config.go","production-go","cmd/ardents","command input and plan decode","command-surface-pass"
"cmd/ardents/config_test.go","go-test","cmd/ardents","","unreviewed"
"cmd/ardents/diagnostic_timeline_adapter_test.go","go-test","cmd/ardents","","unreviewed"
"cmd/ardents/doc.go","production-go","cmd/ardents","ardents command dispatch","command-surface-pass"
"cmd/ardents/endpoint.go","production-go","cmd/ardents","Endpoint command and installed lifecycle adapter","command-surface-pass"
"cmd/ardents/endpoint_administration_client.go","production-go","cmd/ardents","Endpoint command and installed lifecycle adapter","command-surface-pass"
"cmd/ardents/endpoint_administration_client_test.go","go-test","cmd/ardents","","unreviewed"
"cmd/ardents/endpoint_headless.go","production-go","cmd/ardents","Endpoint command and installed lifecycle adapter","command-surface-pass"
"cmd/ardents/endpoint_headless_test.go","go-test","cmd/ardents","","unreviewed"
"cmd/ardents/endpoint_open_retirement_test.go","go-test","cmd/ardents","","unreviewed"
"cmd/ardents/endpoint_replace.go","production-go","cmd/ardents","Endpoint command and installed lifecycle adapter","command-surface-pass"
"cmd/ardents/endpoint_text_authority_test.go","go-test","cmd/ardents","","unreviewed"
"cmd/ardents/endpoint_text_linux.go","production-go","cmd/ardents","Endpoint command and installed lifecycle adapter","command-surface-pass"
"cmd/ardents/endpoint_text_nonlinux.go","production-go","cmd/ardents","Endpoint command and installed lifecycle adapter","command-surface-pass"
"cmd/ardents/endpoint_text_output_linux_test.go","go-test","cmd/ardents","","unreviewed"
"cmd/ardents/endpoint_text_plan.go","production-go","cmd/ardents","Endpoint command and installed lifecycle adapter","command-surface-pass"
"cmd/ardents/endpoint_text_plan_test.go","go-test","cmd/ardents","","unreviewed"
"cmd/ardents/endpoint_text_socket_linux.go","production-go","cmd/ardents","Endpoint command and installed lifecycle adapter","command-surface-pass"
"cmd/ardents/endpoint_user_unit.go","production-go","cmd/ardents","Endpoint command and installed lifecycle adapter","command-surface-pass"
"cmd/ardents/entry_import.go","production-go","cmd/ardents","Entry command adapter","command-surface-pass"
"cmd/ardents/entry_import_plan.go","production-go","cmd/ardents","Entry command adapter","command-surface-pass"
"cmd/ardents/entry_import_test.go","go-test","cmd/ardents","","unreviewed"
"cmd/ardents/entry_network_fixture_test.go","go-test","cmd/ardents","","unreviewed"
"cmd/ardents/event_output.go","production-go","cmd/ardents","Endpoint event output","command-surface-pass"
"cmd/ardents/input_files.go","production-go","cmd/ardents","command input and plan decode","command-surface-pass"
"cmd/ardents/main.go","production-go","cmd/ardents","ardents command dispatch","command-surface-pass"
"cmd/ardents/main_test.go","go-test","cmd/ardents","","unreviewed"
"cmd/ardents/name.go","production-go","cmd/ardents","local Name encoder and retired route refusal","command-surface-pass"
"cmd/ardents/name_retirement_fixture_test.go","go-test","cmd/ardents","","unreviewed"
"cmd/ardents/name_retirement_state_fixture_test.go","go-test","cmd/ardents","","unreviewed"
"cmd/ardents/name_retirement_test.go","go-test","cmd/ardents","","unreviewed"
"cmd/ardents/name_test.go","go-test","cmd/ardents","","unreviewed"
"cmd/ardents/offline.go","production-go","cmd/ardents","offline State admission and command dispatch","behavior-source-traced"
"cmd/ardents/operator_input.go","production-go","cmd/ardents","command input and plan decode","command-surface-pass"
"cmd/ardents/operator_input_test.go","go-test","cmd/ardents","","unreviewed"
"cmd/ardents/service_instance.go","production-go","cmd/ardents","Service Instance command adapter","behavior-source-traced"
"cmd/ardents/service_instance_test.go","go-test","cmd/ardents","","unreviewed"
"cmd/ardents/signals_unix.go","production-go","cmd/ardents","Endpoint process termination adapter","command-surface-pass"
"cmd/ardents/signals_windows.go","production-go","cmd/ardents","Endpoint process termination adapter","command-surface-pass"
"cmd/ardents/source_credentials.go","production-go","cmd/ardents","Source refresh command adapter","command-surface-pass"
"cmd/ardents/source_plan.go","production-go","cmd/ardents","Source refresh command adapter","behavior-source-traced"
"cmd/ardents/testdata/epoch.hex","source-asset","cmd/ardents/testdata","","unreviewed"
"cmd/ardents/testdata/event.jsonl","source-asset","cmd/ardents/testdata","","unreviewed"
"cmd/ardents/testdata/input-0000.hex","source-asset","cmd/ardents/testdata","","unreviewed"
"cmd/ardents/testdata/input-0001.hex","source-asset","cmd/ardents/testdata","","unreviewed"
"cmd/ardents/testdata/input-0002.hex","source-asset","cmd/ardents/testdata","","unreviewed"
"cmd/ardents/testdata/input-0003.hex","source-asset","cmd/ardents/testdata","","unreviewed"
"cmd/ardents/testdata/input-0004.hex","source-asset","cmd/ardents/testdata","","unreviewed"
"cmd/ardents/testdata/input-0005.hex","source-asset","cmd/ardents/testdata","","unreviewed"
"cmd/ardents/testdata/input-0006.hex","source-asset","cmd/ardents/testdata","","unreviewed"
"cmd/ardents/testdata/input-0007.hex","source-asset","cmd/ardents/testdata","","unreviewed"
"cmd/ardents/testdata/materialization-0000.hex","source-asset","cmd/ardents/testdata","","unreviewed"
"docs/adr/0001-public-carrier-private-services.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0002-greenfield-main.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0003-bounded-service-instance-credentials.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0004-authenticated-epochs-and-separated-control-roots.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0005-route-domains-and-bounded-entry-exposure.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0006-separate-release-safety-from-protocol-transition.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0007-separate-carrier-privacy-from-application-egress.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0008-stage-research-before-public-network.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0009-go-project-foundation.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0010-modular-monorepository.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0011-separate-unit-e2e-and-live-tests.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0012-select-webtunnel-for-h3-camouflage.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0013-stage-6-cryptographic-suite.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0014-private-naming-ohttp.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0015-separate-release-decision-from-local-activation.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0016-bind-and-isolate-launcher-born-application-principals.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0017-authenticated-name-claim-ordering.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0018-threshold-recovery-multisignatures.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0019-bounded-anonymous-name-admission.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0020-authenticate-current-namespace-materialization.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0021-use-password-derived-authority-custody.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0022-bind-name-record-validity.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0023-pending-signed-namespace-successors.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0024-native-interactive-route-foundation.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0025-state-referenced-entry-invites.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0026-interactive-route-v1-wire.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0027-entry-binding-v1.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0028-native-service-connection-v1.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0029-retire-update-v0-custody-evidence.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0030-retire-update-v0-as-test-format.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0031-retire-generic-live-test-tree.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0032-target-link-v1.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0033-route-relay-setup-v1.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0034-service-introduction-hpke-credential-v2.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0035-live-introduction-slots-and-transit-binding-v1.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0036-target-private-reachability-v1.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0037-private-reachability-entry-carrier.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0038-alpha-control-disclosure-reader-v1.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0039-state-authorized-transit-grants-v1.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0040-bounded-alpha-name-overlay.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0041-alpha-control-corpus-component-v2.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0042-bind-alpha-control-command-to-v3-enrollment.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0043-derive-grace-from-signed-deadlines.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0044-revalidate-browser-entry-proxy-authentication.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0045-firefox-first-unlisted-browser-entry-delivery.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0046-state-selected-destination-resolution-gateway.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0047-dynamic-membership-transit-grants.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0048-maintain-tcp-and-quic-carriers.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0049-defer-blocked-entry-profile.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0050-separate-local-release-seed-custody.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0051-confirm-local-release-seed-public-receipt.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0052-build-fixed-alpha-static-inputs.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0053-bootstrap-functional-alpha-network-state.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0054-separate-alpha-transition-contracts.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0055-close-h4-6c-with-project-control-simulation.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0056-simulate-h4-6d-controlled-project-control-transitions.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0057-simulate-h4-4b-canonical-name-lifecycle.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0058-simulate-h4-4c-root-claims.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0059-retire-fixed-alpha-candidate-assembly.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0060-retire-completed-planning-campaign-generators.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0061-retain-firefox-entry-as-compatibility-evidence.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0062-scope-online-transit-grant-signing.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0063-bootstrap-transit-issuer-from-owner-root.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0064-separate-service-authority-custody-from-instance-enrollment.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0065-commit-publication-after-live-introduction-readiness.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0066-use-role-scoped-transit-grant-requests.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0067-retire-completed-local-alpha-ceremonies.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0068-bind-transit-issuer-roots-to-state-generation.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0069-retire-active-browser-implementation.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0070-own-volatile-user-route-orchestration.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0071-recipient-bound-offline-headless-enrollment.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0072-adopt-offline-enrollment-route-v2.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0073-bound-h1-offline-enrollment-transaction.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0074-target-non-administrative-public-operation.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0075-service-connection-v2-terminal-receipt.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0076-separate-update-freshness-from-public-operation.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0077-evolve-one-common-protection-baseline.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0078-select-common-split-circuit-privacy.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0080-separate-public-state-acceptance-obligations.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0081-select-closed-protected-service-contract.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0082-bind-bootstrap-restriction-to-node-child.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0083-activate-joined-rendezvous-data-lane.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0085-bound-forwarding-replenishment.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0088-retire-alpha-service-links-and-corpus-intake.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0089-retire-old-node-starts-preserve-owned-shutdown.md","decision-record","docs/adr","","unreviewed"
"docs/adr/0090-retire-name-operator-network-adapters.md","decision-record","docs/adr","","unreviewed"
"docs/adr/README.md","decision-index","docs/adr","","unreviewed"
"docs/development/README.md","current-document","docs/development","","unreviewed"
"docs/development/agent-execution.md","current-document","docs/development","","unreviewed"
"docs/development/audit-receipts/c0-run-2-gate-a-remediation.md","audit-receipt","docs/development/audit-receipts","","unreviewed"
"docs/development/audit-receipts/c0-run-2-track-a.md","audit-receipt","docs/development/audit-receipts","","unreviewed"
"docs/development/command-surface.md","current-document","docs/development","","unreviewed"
"docs/development/deep-audit.md","current-document","docs/development","","unreviewed"
"docs/development/dependencies.md","current-document","docs/development","","unreviewed"
"docs/development/documentation.md","current-document","docs/development","","unreviewed"
"docs/development/endpoint-architecture-refactoring.md","current-document","docs/development","","unreviewed"
"docs/development/endpoint-test-cost.md","current-document","docs/development","","unreviewed"
"docs/development/network-core-transition.md","current-document","docs/development","","unreviewed"
"docs/development/network-core-wire-proposal.md","current-document","docs/development","","unreviewed"
"docs/development/ownership.json","current-document","docs/development","","unreviewed"
"docs/development/package-map.md","current-document","docs/development","","unreviewed"
"docs/development/privacy-anonymity-map.md","current-document","docs/development","","unreviewed"
"docs/development/privacy-qualification.md","current-document","docs/development","","unreviewed"
"docs/development/repository-layout.md","current-document","docs/development","","unreviewed"
"docs/development/route-refactoring-boundary.md","current-document","docs/development","","unreviewed"
"docs/development/scoped-risk-exceptions.md","current-document","docs/development","","unreviewed"
"docs/development/testdata/s7.2/c0-happy-path-v1.json","documentation-fixture","docs/development/testdata/s7.2","","unreviewed"
"docs/development/testdata/s7.2/previous-payload-v1.txt","documentation-fixture","docs/development/testdata/s7.2","","unreviewed"
"docs/development/testing.md","current-document","docs/development","","unreviewed"
"docs/reference/portable-enrollment.md","current-document","docs/reference","portable-first-execution-procedure","owner-route-pass"
"docs/product/functional-map.md","current-document","docs/product","","unreviewed"
"docs/product/future-product-catalog.md","current-document","docs/product","","unreviewed"
"docs/product/journeys.md","current-document","docs/product","","unreviewed"
"docs/product/operating-model.md","current-document","docs/product","","unreviewed"
"docs/product/protected-service-workload.md","current-document","docs/product","","unreviewed"
"docs/product/scope.md","current-document","docs/product","","unreviewed"
"docs/product/vision.md","current-document","docs/product","","unreviewed"
"docs/reference/commands.md","current-document","docs/reference","","unreviewed"
"docs/reference/rendezvous-contributor.md","current-document","docs/reference","","unreviewed"
"docs/research/README.md","research-register","docs/research","","unreviewed"
"docs/research/questions.md","research-register","docs/research","","unreviewed"
"docs/research/records/r-092-native-node-operating-profile.md","research-record","docs/research/records","","unreviewed"
"docs/research/records/r-093-voluntary-endpoint-contribution.md","research-record","docs/research/records","","unreviewed"
"docs/research/records/r-094-hostile-network-carrier-profiles.md","research-record","docs/research/records","","unreviewed"
"docs/research/records/r-095-portable-endpoint-alpha-lifecycle.md","research-record","docs/research/records","","unreviewed"
