binary,route,dispatch_source,primary_domain_owner,classification,trace_state
ardents-custody,verify-record,cmd/ardents-custody/verify_record.go:verifyRecord,internal/custody,current-inspection-with-root-open,source-traced
ardents-custody,export-recovery-bundle,cmd/ardents-custody/recovery_bundle.go:recoveryBundle,internal/custody,current-offline,source-traced
ardents-custody,restore-recovery-bundle,cmd/ardents-custody/recovery_bundle.go:recoveryBundle,internal/custody,current-offline,source-traced
ardents-custody,purge-record,cmd/ardents-custody/purge_record.go:purgeRecord,internal/custody,current-offline,source-traced
ardents-text,link,cmd/ardents-text/published_link_linux.go:runPublishedLink,internal/application/interfacev1/administration,current-trusted-ui,source-traced
ardents-text,publish,cmd/ardents-text/publisher.go:publishText,internal/application/textdocument,current-trusted-ui,source-traced
ardents-text,read,cmd/ardents-text/reader.go:readText,internal/application/interfacev2/connection,current-trusted-ui,source-traced
ardents-text,worker-reader,cmd/ardents-text/main.go:run,internal/application/textdocument,current-confined-worker,source-traced
ardents-text,worker-publisher,cmd/ardents-text/main.go:run,internal/application/textdocument,current-confined-worker,source-traced
ardents-qualification,run plan,cmd/ardents-qualification/main.go:run,internal/qualification,verification-tool,source-traced
ardents-qualification,preflight,cmd/ardents-qualification/preflight_linux.go:preflight,cmd/ardents-qualification,verification-tool,source-traced
ardents-qualification,verify-run,cmd/ardents-qualification/completed_evidence_linux.go:verifyCompletedRun,cmd/ardents-qualification,verification-tool,source-traced
ardents-qualification,verify-pair,cmd/ardents-qualification/paired_evidence_linux.go:verifyPair,cmd/ardents-qualification,verification-tool,source-traced
ardents-qualification,verify-network-manifest,cmd/ardents-qualification/network_manifest_linux.go:verifyNetworkManifest,cmd/ardents-qualification,verification-tool,source-traced
ardents-qualification,verify-net14v,cmd/ardents-qualification/net14v_verdict_linux.go:verifyNET14V,cmd/ardents-qualification,verification-tool,source-traced
ardents-qualification,verify-failed-net14v,cmd/ardents-qualification/failed_net14v_linux.go:verifyFailedNET14V,cmd/ardents-qualification,verification-tool,source-traced
ardents-stream-qualification,worker-reader,cmd/ardents-stream-qualification/main.go:run,internal/application/streamqualification,verification-worker,source-traced
ardents-stream-qualification,worker-publisher,cmd/ardents-stream-qualification/main.go:run,internal/application/streamqualification,verification-worker,source-traced
